Country,IPCC-GEA,Region,Sub-region,Nation,Develop_status,Least_Developed,income_Status,Land_locked,small_island,ISO
Afghanistan,SAS,142,34,4,1,199,4,432,0,AFG
AAland Islands,WEU,150,154,248,2,0,0,0,0,ALA
Albania,CEU,150,39,8,3,0,2,0,0,ALB
Algeria,NAF,2,15,12,1,0,2,0,0,DZA
American Samoa,PAS,9,61,16,1,0,2,0,722,ASM
Andorra,WEU,150,39,20,2,0,1,0,0,AND
Angola,SAF,2,17,24,1,199,2,0,0,AGO
Anguilla,CAR,419,29,660,1,0,0,0,722,AIA
Antigua and Barbuda,CAR,419,29,28,1,0,1,0,722,ATG
Argentina,SSA,419,5,32,1,0,2,0,0,ARG
Armenia,CAS,142,145,51,3,0,3,432,0,ARM
Aruba,CAR,419,29,533,1,0,1,0,722,ABW
Australia,PAO,9,53,36,2,0,1,0,0,AUS
Austria,WEU,150,155,40,2,0,1,0,0,AUT
Azerbaijan,CAS,142,145,31,3,0,2,432,0,AZE
Bahamas,CAR,419,29,44,1,0,1,0,722,BHS
Bahrain,WAS,142,145,48,1,0,1,0,0,BHR
Bangladesh,SAS,142,34,50,1,199,3,0,0,BGD
Barbados,CAR,419,29,52,1,0,1,0,722,BRB
Belarus,CEU,150,151,112,3,0,2,0,0,BLR
Belgium,WEU,150,155,56,2,0,1,0,0,BEL
Belize,CAM,419,13,84,1,0,2,0,722,BLZ
Benin,WCA,2,11,204,1,199,4,0,0,BEN
Bermuda,CAR,21,21,60,2,0,1,0,0,BMU
Bhutan,SAS,142,34,64,1,199,3,432,0,BTN
Bolivia,AMZ,419,5,68,1,0,3,432,0,BOL
"Bonaire, Sint Eustatius and Saba",CAR,419,29,535,1,0,0,0,0,BES
Bosnia and Herzegovina,CEU,150,39,70,3,0,2,0,0,BIH
Botswana,SAF,2,18,72,1,0,2,432,0,BWA
Brazil,AMZ,419,5,76,1,0,2,0,0,BRA
British Virgin Islands,CAR,419,29,92,1,0,1,0,722,VGB
Brunei,SEA,142,35,96,1,0,1,0,0,BRN
Bulgaria,CEU,150,151,100,2,0,2,0,0,BGR
Burkina Faso,WCA,2,11,854,1,199,4,432,0,BFA
Burundi,EAF,2,14,108,1,199,4,432,0,BDI
Cabo Verde,WCA,2,11,132,1,0,3,0,722,CPV
